item_number,item_description,group_name,vendor_price_usd,price_valid_till,notes,price_expired,phase_out_flag,vendor,vendor_brand,country,price_type,source_file
616209000,Flexiarapid super 125x0.8x22.23 Inox    ,Accessory,1.5015,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616210000,Flexiarapid super 105x1.0x16 Inox       ,Accessory,1.014,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616212000,"Flexiamant super 300x3,0x25,4 stone     ",Accessory,4.069,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616213000,"Flexiamant super 350x3,5x25,4 stone     ",Accessory,6.0385,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616215000,"Flexiamant super 400x3,0x25,4 steel     ",Accessory,7.5075,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616216000,Flexiarapid super 115x1.0x22.23 Inox    ,Accessory,1.1635,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616217000,Flexiarapid super 115x1.0x22.23 Inox    ,Accessory,1.1635,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616218000,Flexiarapid super 115x1.6x22.23 Inox    ,Accessory,1.0205000000000002,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616219000,Flexiarapid super 115x1.6x22.23 Inox    ,Accessory,1.105,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616220000,Flexiarapid super 125x1.0x22.2 Inox     ,Accessory,1.2415,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616222000,Flexiarapid super 125x1.6x22.23 Inox    ,Accessory,1.0595,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616224000,Flexiarapid super 150x1.6x22.23 Inox    ,Accessory,2.015,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616226000,Flexiarapid super 180x1.6x22.23 Inox    ,Accessory,2.08,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616227000,Flexiarapid super 180x1.6x22.23 Inox    ,Accessory,2.08,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616228000,Flexiarapid super 230x1.9x22.23 Inox    ,Accessory,2.743,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616229000,Flexiarapid super 230x1.9x22.23 Inox    ,Accessory,2.743,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
