item_number,item_description,vendor,vendor_brand,country,price_type,vendor_price_usd,pt_price_ca35,pt_price_ca40,phase_out_flag,ronix_fob_price_usd,vendor_price_jmd
20101,2 pk. Black Electrical Tape,Workpro,Workpro,China,landed,0.98,0.92,0.85,,,153.84441800000002
20102,Silver Duct Tape,Workpro,Workpro,China,landed,1.74,1.67,1.54,,,273.152334
20103-B,Bin for 20103,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20104,"3/8"" Dr. Rubber Grip Ratchet",Workpro,Workpro,China,landed,2.75,2.62,2.42,,,431.706275
20104-B,Bin for 20104,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20105-B,Bin for 20105,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20106,"3/8"" Dr. 5/8"" Spark Plug Socket",Workpro,Workpro,China,landed,0.99,0.93,0.85,,,155.41425900000002
20108,"6"" Slip Joint Pliers",Workpro,Workpro,China,landed,2.41,2.26,2.09,,,378.33168100000006
20108-B,Bin for 20108,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20109-B,Bin for 20109,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
2011,Lower Basket for Tool Table,Workpro,Workpro,China,landed,66.38,62.26,57.47,,,10420.604558
20110,"6"" Long Nose Pliers",Workpro,Workpro,China,landed,2.15,2.04,1.89,,,337.51581500000003
20110-B,Bin for 20110,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20111-B,Bin for 20111,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20116,6-in-1 Screwdriver,Workpro,Workpro,China,landed,2.0,1.88,1.73,,,313.9682
20116-B,Bin for 20116,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20117,"#2 X 4"" Phillips Screwdriver",Workpro,Workpro,China,landed,0.91,0.85,0.78,,,142.855531
20117-B,Bin for 20117,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20118-B,Bin for 20118,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20119,"Snap Blade Knife, 8pt",Workpro,Workpro,China,landed,0.7,0.65,0.6,,,109.88887
20119-B,Bin for 20119,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
