item_number,item_description,product_description,order_quantity,qty_per_carton,cbm_per_carton,fob_unit_price_usd,estimated_landed_price_usd,freight_factor_applied,NOTE_ronix_pricing,vendor,vendor_brand,country,price_type,source_file
3100,"Mini Angle Grinder
115 mm","Power : 1100 W
No Load Speed : 3000-11000 rpm
Cutting Disk Diameter : 115 mm
Weight : 2.1 kg",0,8,0.0491,25.17,32.721,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3100BS,"Mini Angle Grinder
115 mm","Power : 1100 W
No Load Speed : 3000-11000 rpm
Cutting Disk Diameter : 115 mm
Weight : 2.1 kg",0,8,0.0491,24.14,31.382,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3102,"Angle Grinder
125 mm","Power : 1200 W
No Load Speed : 3000-11000 rpm
Cutting Disk Diameter : 125 mm
Weight : 2.2 kg",0,10,0.0807,23.03,29.939,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3102K,"Angle Grinder
125 mm","Power : 1200 W
No Load Speed : 3000-11000 rpm
Cutting Disk Diameter : 125 mm
Weight : 2.2 kg",0,5,0.0814,25.32,32.916,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3110 100mm,"Mini Angle Grinder
100 mm","Power : 880 W
No Load Speed :
11000 rpm
Cutting Disk Diameter : 100 mm
Weight : 2.2 kg",0,8,0.055,19.05,24.765,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3110 115mm,"Mini Angle Grinder
115 mm","Power : 880 W
No Load Speed :
11000 rpm
Cutting Disk Diameter : 115 mm
Weight : 2.2 kg",0,8,0.0601,23.42,30.446,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3110N,"Mini Angle Grinder
115 mm","Power : 880 W
No Load Speed :
11000 rpm
Cutting Disk Diameter : 115 mm
Weight : 2.2 kg",0,8,0.0574,15.28,19.864,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
"3110 115mm Brazilian
plug",MiNi Angle Grinder,"Power : 880 W
No Load Speed :
11000 rpm
Cutting Disk Diameter : 115 mm
Weight : 2.2 kg",0,8,0.0601,21.49,27.937,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3111 115mm,"Mini Angle Grinder
115 mm","Power : 850 W
No Load Speed : 12000 rpm
Grinding wheel size : 115 mm
Weight : 2 kg",0,10,0.0584,14.96,19.448,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3111BS,"Mini Angle Grinder
115 mm","Power : 850 W
No Load Speed : 12000 rpm
Grinding wheel size : 115 mm
Weight : 2 kg",0,10,0.0567,15.48,20.124,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3111 125mm,"Mini Angle Grinder
125 mm","Power:850W
Voltage:220V
Frequency:50 HZ
No Load Speed:12000 rpm
Grinding wheel size:125mm
Weight:1.98 kg",0,10,0.0581,15.99,20.787,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
