item_number,item_description,pt_current_price,pt_cpl35_price,pt_price_change_pct,standard_pack,inner_qty,master_qty,upc,class_code,class_desc,brand_code,brand_desc,subclass_code,subclass_desc,group_name,is_new_item,pt_price_ca35,pt_price_ca40,vendor,vendor_brand,country,price_type,source_file
W80584,Deluxe Compression Tester Kit,28.39,28.39,0.0,1.0,1,12,39564106590.0,4,Specialty Tools,1.0,Performance Tool,30,Diagnostic,Tech Kit,,27.93,25.78,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80585,Ford Fan Clutch Wrench Set,13.4,13.4,0.0,1.0,6,24,39564805851.0,4,Specialty Tools,1.0,Performance Tool,6,Cooling,,,12.86,11.87,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80586,Heavy Duty Remote Starter,18.5,18.51,0.0,1.0,6,24,39564106736.0,4,Specialty Tools,1.0,Performance Tool,10,Starting & Charging,,,17.91,16.53,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80587,Digital Advance Timing Light,51.36,51.36,0.0,1.0,1,20,39564127328.0,4,Specialty Tools,1.0,Performance Tool,30,Diagnostic,,,48.41,44.68,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80590,Oil Pressure Switch Socket,5.4,5.41,0.0,1.0,6,48,39564805905.0,4,Specialty Tools,1.0,Performance Tool,9,Sensors & Switches,,,5.13,4.73,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80591,"1-3/16"" Oil Pressure Switch Socket",6.87,7.22,0.0504731861198738,1.0,6,24,39564805912.0,4,Specialty Tools,1.0,Performance Tool,9,Sensors & Switches,,,6.26,5.78,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80592,Ford IPR Valve Socket,9.5,9.83,0.0353477765108324,1.0,12,48,39564013430.0,4,Specialty Tools,1.0,Performance Tool,9,Sensors & Switches,,,9.0,8.3,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80594,Vacuum & Fuel Pump Tester,12.16,12.59,0.0347284060552091,1.0,12,48,39564805943.0,4,Specialty Tools,1.0,Performance Tool,30,Diagnostic,,,11.92,11.01,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80595,Fuel Injection Pressure Tester,19.68,19.68,0.0,1.0,6,24,39564132360.0,4,Specialty Tools,1.0,Performance Tool,25,Fuel,,,19.4,17.91,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80598,"4"" Piston Ring Pliers",8.13,8.14,0.0,1.0,5,50,39564154232.0,4,Specialty Tools,1.0,Performance Tool,3,Pistons,,,7.51,7.51,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80599,"6"" Piston Ring Pliers",9.41,9.41,0.0,1.0,5,50,39564154249.0,4,Specialty Tools,1.0,Performance Tool,3,Pistons,,,8.68,8.68,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80602,"4 pc. 3/8"" Dr. Metric X-Deep 6pt Sockets",18.99,19.99,0.0530519110096976,1.0,6,24,39564132469.0,4,Specialty Tools,1.0,Performance Tool,50,Body and Interior,,,17.22,15.89,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80616,"1/4 x 3/8"" Offset Brake Bleeder Wrench",4.62,4.63,0.0,1.0,6,48,39564806162.0,4,Specialty Tools,1.0,Performance Tool,38,Brake Bleeding,,,4.26,3.93,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80617,"5/16"" 3/8"" Offset Brake Bleeder Wrench",4.62,4.63,0.0,1.0,6,48,39564806179.0,4,Specialty Tools,1.0,Performance Tool,38,Brake Bleeding,,,4.31,3.97,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80619,7mm x 9mm Offset Brake Bleeder Wrench,4.62,4.63,0.0,1.0,6,48,39564806193.0,4,Specialty Tools,1.0,Performance Tool,38,Brake Bleeding,,,4.28,3.95,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80620,8mm x 10mm Offset Brake Bleeder Wrench,4.62,4.63,0.0,1.0,6,48,39564806209.0,4,Specialty Tools,1.0,Performance Tool,38,Brake Bleeding,,,4.31,3.97,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80621,"3/8"" Dr. Disc Brake Caliper Piston Tool",4.36,4.36,0.0,1.0,6,72,39564806216.0,4,Specialty Tools,1.0,Performance Tool,35,Disc Brakes,,,4.23,3.91,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80622,Brake Spring Washer Tool,3.72,3.75,0.0087463556851311,1.0,6,72,39564806223.0,4,Specialty Tools,1.0,Performance Tool,36,Drum Brakes,,,3.48,3.21,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80624,Brake Caliper Hanger Set,3.84,3.89,0.0141242937853106,1.0,20,100,39564012105.0,4,Specialty Tools,1.0,Performance Tool,35,Disc Brakes,,,3.71,3.43,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80625,Brake Bleeder Kit,3.82,3.82,0.0,1.0,6,48,39564806254.0,4,Specialty Tools,1.0,Performance Tool,38,Brake Bleeding,,,3.71,3.43,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80626,Brake Bleeder Kit,4.44,4.44,0.0,1.0,6,48,39564806261.0,4,Specialty Tools,1.0,Performance Tool,38,Brake Bleeding,,,4.11,3.8,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80627,2 Pin Caliper Tool,13.6,14.3,0.0509554140127387,1.0,6,24,39564132933.0,4,Specialty Tools,1.0,Performance Tool,35,Disc Brakes,,,12.37,11.42,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80628,Brake Rotor & Tread Depth,11.45,11.45,0.0,1.0,24,240,39564133220.0,4,Specialty Tools,1.0,Performance Tool,35,Disc Brakes,,,10.44,9.63,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80629,"2-1/2"" Brake Rotor Hone",24.08,24.08,0.0,1.0,6,48,39564126284.0,4,Specialty Tools,1.0,Performance Tool,35,Disc Brakes,,,22.72,20.98,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80630,Universal Offset Brake Spoon,2.94,2.94,0.0,1.0,6,72,39564806308.0,4,Specialty Tools,1.0,Performance Tool,36,Drum Brakes,,,2.84,2.62,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80631,"3 Stone Brake Hone 27/32 to 2""",8.57,9.08,0.0594184576485462,1.0,6,144,39564806315.0,4,Specialty Tools,1.0,Performance Tool,36,Drum Brakes,,,7.95,7.34,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80632,3 pc. Stone Set for W80631,3.63,3.84,0.0597014925373133,1.0,12,288,39564806322.0,4,Specialty Tools,1.0,Performance Tool,36,Drum Brakes,,,3.38,3.12,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80633,2 Stone Brake Hone 11/16 to 2-1/2,6.83,7.22,0.0587301587301587,1.0,6,144,39564806339.0,4,Specialty Tools,1.0,Performance Tool,36,Drum Brakes,,,6.34,5.86,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
